DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3002276,Shawarma Falafel,,,Daaboul,Serge,26   Province ST,Boston,MA,02108,157832,+16179552894,42.357172,-71.059651,Shawarma FalafelDaaboulSerge157832
3002277,Shed BBQ,,,Wilson,Shawn,32  Bromfield ST,Boston,MA,02108,351812,+10000000000,0,0,Shed BBQWilsonShawn351812
3002278,Shin Hakata Ramen,,,Chen,Rich,173   Massachusetts AVE,Boston,MA,02115,91978,+18579301413,42.34589,-71.08739,Shin Hakata RamenChenRich91978
3002279,Shinmio Tea,,,Guo,Jiaqi,900  Beacon ST,Boston,MA,02215,432155,+16177944736,0,0,Shinmio TeaGuoJiaqi432155
3002280,Shojo,,,Moy,Brian,11   Tyler ST,Boston,MA,02111,157824,+16174264338,42.351057,-71.060789,ShojoMoyBrian157824
3002281,Shore Leave,,GRAYBAR ELECTRIC CO INC,Mullins Way,Att: Accounts Payable,345  Harrison Av,Roxbury,MA,02118,69828,+16174708663,42.34518,-71.06448,Shore LeaveMullins WayAtt: Accounts Payable69828
3002282,Showa Womens Institution,,SHOWA BOSTON INSTITUTE,"SHOWA WOMEN'S INST.",BOS.,414   Pond ST,Jamaica Plain,MA,02130,111659,+10005247403,42.30759,-71.1313,"Showa Womens InstitutionSHOWA WOMEN'S INST.BOS.111659"
3002283,Showplace Icon,,,Icon Showplace Theatres LLC,Att: Licensing,23  Northern AVE,Boston,MA,02210,352651,+10000000000,0,0,Showplace IconIcon Showplace Theatres LLCAtt: Licensing352651
3002284,"Shun's Kitchen",,OBRIEN PATRICK J TS,Chen,Shun,520   Columbus AVE,Roxbury,MA,02118,35840,+16176698381,42.34189,-71.07978,"Shun's KitchenChenShun35840"
3002285,Siam Bistro,,"",Pat Vivatyukan,"",151   Pearl ST,Boston,MA,02110,291646,+10000000000,42.35453,-71.05363,Siam BistroPat Vivatyukan291646
3002286,Side Chick,,NANDLAL BOODOOSINGH,692 Columbia LLC,"",692   Columbia RD,Dorchester,MA,02125,157945,+16175061757,42.32022,-71.062459,Side Chick692 Columbia LLC157945
3002287,Silver Slipper,,,LORNA MOHAMMED/JEFFERY HERNANDEZ,"",2387   Washington ST,Roxbury,MA,02119,157310,+15085863230,42.32914,-71.085068,Silver SlipperLORNA MOHAMMED/JEFFERY HERNANDEZ157310
3002288,Silvio O. Conte Forum East Roof 2A,,"",Trustees of Boston College,Attn: Dining Svcs.,2597   Beacon ST,Brighton,MA,02135,172185,+16175523307,42.336249,-71.166434,Silvio O. Conte Forum East Roof 2ATrustees of Boston CollegeAttn: Dining Svcs.172185
3002289,Silvio O. Conte Forum East Roof 2B,,"",Trustees of Boston College,Attn: Dining Svcs.,2597   Beacon ST,Brighton,MA,02135,172185,+16175523307,42.336249,-71.166434,Silvio O. Conte Forum East Roof 2BTrustees of Boston CollegeAttn: Dining Svcs.172185
3002290,Silvio O. Conte Forum East Roof 2C,,"",Trustees of Boston College,Attn: Dining Svcs.,2597   Beacon ST,Brighton,MA,02135,172185,+16175523307,42.336249,-71.166434,Silvio O. Conte Forum East Roof 2CTrustees of Boston CollegeAttn: Dining Svcs.172185
